Id,SalePrice
1461,125237.38725797263
1462,157735.4442992129
1463,182142.27317151983
1464,188007.1287353407
1465,187841.63061005168
1466,179031.80345610398
1467,172533.239029164
1468,172430.01875977404
1469,176319.15493223566
1470,124201.53154807974
1471,203104.15146490256
1472,92794.2093364096
1473,95714.1975072606
1474,152615.5594320463
1475,134723.76357430595
1476,370427.89284969366
1477,250738.864437336
1478,297144.9131927747
1479,272865.91258510924
1480,468599.02538493386
1481,307194.5142709884
1482,206445.32132415593
1483,173568.9130460719
1484,169308.01705034706
1485,173918.87272978525
1486,192137.15818748227
1487,321580.12635702285
1488,232238.68544777384
1489,205070.38341684337
1490,214474.8148867708
1491,189124.14256909778
1492,91618.05189576543
1493,181813.56139691354
1494,286779.8899374353
1495,272323.59683125734
1496,243179.12943290238
1497,183502.02656389782
1498,156278.96578131986
1499,155178.06648827659
1500,152335.9502386129
1501,174830.884845189
1502,155108.7876021902
1503,286478.60097985435
1504,234670.9815460864
1505,222127.56745623332
1506,179339.29934822992
1507,222936.65058249427
1508,198350.3856778936
1509,162959.4838479539
1510,150462.71645571795
1511,146950.75614552948
1512,168734.8402887014
1513,137350.875707331
1514,159491.07316293195
1515,184753.94804169692
1516,152761.9520713405
1517,159744.82855083956
1518,126787.83322759744
1519,226342.76989000884
1520,136273.46810566518
1521,140224.3882015865
1522,165647.20119231872
1523,112334.69671175981
1524,124958.11078492284
1525,124984.02287539945
1526,117511.70393530847
1527,98323.91086353674
1528,134171.50862316706
1529,147044.6749811161
1530,170941.2040813628
1531,112042.39497565739
1532,99758.03161761572
1533,139679.5687414559
1534,118195.18557355151
1535,154731.64966895198
1536,114392.486118224
1537,68653.05566143527
1538,165631.71174259874
1539,212446.11553676875
1540,98979.82488487993
1541,142655.45894452836
1542,142083.7527195167
1543,222637.88810399675
1544,77898.75994580807
1545,103218.51293520718
1546,124338.01962960849
1547,137836.91703720644
1548,135736.24881950355
1549,107555.95990937317
1550,143238.7271482265
1551,114288.2162929443
1552,125885.29169379038
1553,144192.21463692005
1554,113254.53521940105
1555,173527.5598118265
1556,80641.05887064026
1557,97748.63427050092
1558,88102.85291650295
1559,90034.88880819452
1560,142285.27242489834
1561,124767.14851150016
1562,129391.00050034118
1563,120646.65214973774
1564,161320.78858477855
1565,149357.77912733107
1566,234915.69214048728
1567,67890.67165048608
1568,230511.28595960472
1569,135012.9019944874
1570,136549.19682000403
1571,126173.7951345262
1572,152330.4043901433
1573,249405.94125790568
1574,111873.64036444279
1575,219784.7678776265
1576,222611.95895187586
1577,193984.67354998656
1578,147027.5019368432
1579,146832.51722949633
1580,190634.2592178244
1581,147291.28370840338
1582,130575.24489003023
1583,330983.4301754773
1584,231670.12560012777
1585,141890.16294058968
1586,70842.95213207197
1587,98402.07792118238
1588,152502.68438571517
1589,88288.07225695856
1590,136330.24088950874
1591,101053.44845022906
1592,116751.61376788488
1593,121539.88684576591
1594,126447.94958666606
1595,111262.16160783112
1596,235359.9940263799
1597,180938.47357736254
1598,192605.11748146574
1599,179834.19945875247
1600,177450.20632055437
1601,72254.1446325118
1602,110672.38694404173
1603,90328.06549092368
1604,272421.64019141806
1605,240023.61466885515
